Season,DayNum,TeamID_A,Score_A,TeamID_B,Score_B,WLoc,NumOT,Seed_A,Rating_A,win_rate_A,gap_avg_A,Seed_B,Rating_B,win_rate_B,gap_avg_B,diff_seed,diff_rating,diff_win_rate,diff_gap_avg,diff_score,target
2010,138,3124,69,3201,55,N,0,4,64.35748595214233,0.71875,15.25,13,57.66879174816829,0.8181818181818182,12.87878787878788,-9,6.688694203974038,-0.09943181818181823,2.3712121212121193,14,1
2010,138,3173,67,3395,66,N,0,8,58.380778730272795,0.7741935483870968,12.935483870967742,9,58.613556797502966,0.7333333333333333,12,-1,-0.23277806723017136,0.04086021505376347,0.935483870967742,1,1
2010,138,3181,72,3214,37,H,0,2,68.92094651749076,0.84375,16.53125,15,49.05327150969987,0.6451612903225806,8.774193548387096,-13,19.867675007790893,0.19858870967741937,7.757056451612904,35,1
2010,138,3199,75,3256,61,H,0,3,65.18070614430063,0.8387096774193549,15.32258064516129,14,55.17622619854164,0.7419354838709677,9.935483870967742,-11,10.004479945758987,0.09677419354838712,5.387096774193548,14,1
2010,138,3207,62,3265,42,N,0,5,61.36269845597272,0.8,9.666666666666666,12,57.8610253970423,0.7878787878787878,10.272727272727272,-7,3.5016730589304217,0.0121212121212122,-0.6060606060606055,20,1
2010,138,3208,64,3408,59,N,0,5,60.82165915095063,0.7419354838709677,8.419354838709678,12,56.452209974409485,0.8125,9.6875,-7,4.369449176541146,-0.07056451612903225,-1.268145161290322,5,1
2010,138,3211,82,3314,76,H,0,7,61.580859572008414,0.8709677419354839,23.29032258064516,10,63.16170939065896,0.6333333333333333,9.833333333333334,-3,-1.5808498186505489,0.23763440860215057,13.456989247311826,6,1
2010,138,3234,70,3353,63,N,0,8,61.14357542648752,0.59375,3.34375,9,61.19207478283376,0.5625,0.78125,-1,-0.048499356346233924,0.03125,2.5625,7,1
2010,138,3246,83,3251,77,H,0,4,62.13318190846167,0.78125,15.78125,13,55.69659873470365,0.8387096774193549,17.161290322580644,-9,6.436583173758024,-0.05745967741935487,-1.3800403225806441,6,1
2010,138,3261,60,3216,39,N,0,7,62.59465780592905,0.6896551724137931,17.24137931034483,10,58.86843013513419,0.8709677419354839,12.870967741935484,-3,3.726227670794863,-0.18131256952169073,4.370411568409345,21,1
